#tradeName,merchantName,description,address1,address2,address3,email,phone,mobile,contact1,contact2,categoryList
floor carpet7,圣象地板,圣象集团，新加坡上市公司，亚洲最大地板制造商。<br/>高耐磨立体浮雕面，纳米抗菌，欧洲环保一级标准，批发零售，8mm及12mm强化地板，实木复合地板及实木地板。上万平方米库存，数十种款式。各式配件齐全。 （02）9642 2138,"14/6-20 Braidwood St, Straithfield South",,,,（02）9642 2138,0401 683 466,,,Floor carpet
HHB TIMBER FLOORING,HHB TIMBER FLOORING 悉尼专业地板安装销售公司,专业队伍提供并安装各式地板，维修各种地板状况，多年经验保证质量，价格实惠，免费上门估价<br/>悉尼专业地板安装销售公司 质量第一的原则，为您专业设计和安装各式地板和楼梯 多年安装经验，让您得到优质工程 免费估价，免费送货 各式实木、复合地板，欢迎来电咨询 0416633383,,,,xingbldqing@hotmail.com,,0416 633 383,,,Floor carpet
Ihome Sydney,Ihome Sydney,"IHOMESYDNEY based in Sydney, is one of the leading floor-boards suppliers and installers in Sydney area. <br/>Business ranges cover timber floors, carpets, tiles, painting, kitchens and bathrooms renovation. Three showrooms located at Campsie, Homebush West and Gosford. Each showroom is staffed by people with extensive knowledge and expertise to advise customers on their individual requirements. Over 1000 home renovation jobs have been done with us. <br/>We have built good relationships with plenty of agents, developers, builders, and local customers. Good quality products, good customer services and good reputations make IHOMESYDNEY more professional, more reliable, and unbeatable. We do believe that our professional services will make your home quickly upgrading, brilliant looking, and comfortable living. 公司经营各类地面产品，包括： 实木地板，复合板，重竹地板， 强化耐磨板以及各种地毯。作为悉尼最具规模的华人公司，所经营所有产品均为环保产品，让您用得放心。安装队伍经验丰富，具备处理任何疑难杂症的能力。公司销售人员业务知识强，能解答您任何问题以及可以提供合理建议。所有业务都是明码标价，无任何隐藏费用。 公司另外提供室内装修的配套服务，包括： 油漆，瓷砖，地毯，浴室翻新，窗帘等，价格低于市场价格，不但经济实惠，也免去您四处奔波的烦恼。 装修对于每个朋友来说都是件大事，找正规的商家可以免去上当受骗的烦恼。 爱家装修为您的生活添光加彩！ 地址： 103 The Crescent Homebush West Tel: 97466688 Mob: 0430302868 地址： 271 Beamish St Campsie Tel: 97896686 Mob: 042625161",,,,,02 9789 6686,0430 302 868,,,Floor carpet
AAA,AAA西北Hills区皇朝地板,专注Hills 地区，实木板，澳洲素板，金刚板，竹地板，10年经验木工.<br/>不必东奔西跑，皇朝地板您最佳选择。特别推出：欧洲制造金刚板特价包人工 $40/sqm 。<br/> 331 Windsor Rd Baulkham Hills (Windsor Rd 与 Seven Hills Rd 交叉口）。 （02）9639 9610,331 Windsor Rd Baulkham Hills ,,,,（02）9639 9610,0425 613 369,,,Floor carpet
HuiLi,HuiLi 汇丽地板,优质地板，零售批发，安装打磨，价廉质优。 , 3/113-115 Punchbowl Rd Belfied,,,,（02）9758 3524,,,,Floor carpet
SECURE-A-JAMB,SECURE-A-JAMB,,"PO BOX 808, EPPING NSW 2121",,,,(02) 9876 4555,,,,Floor carpet
floor carpet8,一級品北極星地板,,"1/27 MOXON ROAD, PUNCHBOWL NSW 2196",,,,(02) 9708 2883,,,,Floor carpet
Rino's Floor Covering,Rino's Floor Covering,我们齐备地板，地毯，挂毯，礼堂，高业机构等大型铺设经验，<br/>欢迎光临洽谈业务Rino's Floor Covering,3/41 O'Conell Street Smithfield 2164,,,,(02) 9609 1233,0413965212,,,Floor carpet
BBC CERAMIC TILE CENTRE,BBC CERAMIC TILE CENTRE,潔具及室內裝修/瓷磚木地板總匯,"813-817 CANTERBURY RD, LAKEMBA NSW 2195",,,,(02) 9759 0471,,,,Floor carpet
RALLIS TIMBER P/L,RALLIS TIMBER P/L,,"21 MARRICKVILLE RD, MARRICKVILLE NSW 2204",,,,(02) 9557 5037,,,,Floor carpet
TILECRAFT CERAMICS,TILECRAFT CERAMICS ,,"16 RAGIAN RD, AUBURN NSW 2144 ",,,,(02) 8717 9000,,,,Floor carpet
DANIAS TIMBER,DANIAS TIMBER ,,"177 VICTORIA RD, MARRICKVILLE NSW 2204",,,,(02) 9564 3434,,,,Floor carpet
CAPRI TILES ,CAPRI TILES ,,"1429 BOTANY RD, BOTANY NSW 2019",,,,(02) 9316 6207,,,,Floor carpet
floor carpet9,米高雲石 MICHAEL MARBLE & GRANITE P/L ,,"5 JAYELEM CRES, PADSTOW NSW 2211",,,,(02) 9792 7850,,,,Floor carpet
AA flooring,A&X上海安信地板直销 ,"上海厂方直销。采用德国技术特价批发各种东南亚，南美。澳洲木地实木地板（可议价）。实木复合地板$28起。特价：12， 3mm强化地板 $12起，包公包料 $26/平方起。友善，专业工程队精心设计。安装。包满意。10年质量保证。免费估价。（02）9708 0582 仓库：13/57 Allingham St, Condell Park ,七天","13/57 Allingham St, Condell Park",,,,（02）9708 0582,0405 675 944,,,Floor carpet
SUPEREXCELLENCE TIMBER FLOORING,SUPEREXCELLENCE TIMBER FLOORING 卓越地板,"专业安装各种地板,楼梯,旧地板,维修翻新,各种样品上门供你选择,免费评估报价,10年安装经验,价格合理,质量保证,优惠华人. 一般没有特殊情况下的各类地板安装参考价格： 厚度8.3mm强化地板（Laminated flooring）包含所有费用可底至28澳元每平方米。 厚度12.3mm强化地板（Laminated flooring)包含所有费用可底至32澳元每平方米。 各种重竹地板（Bamboo flooring)包含所有费用可底至38澳元每平方米。 各种实木复合板（Floating flooring)人工费可底至15澳元每平方米，地板材料自己选好再定价。 各种实木地板（Solid timber）人工费可底至18澳元每平方米（如需要水泥地面钉底板的另加10澳元每平方米），地板材料自已选好再定价。 一般没有特殊情况下的各种楼梯地板安装参考价格： 强化地板，竹地板：30澳元每级楼梯（不包括地板费用） 实木地板：50澳元每级楼梯（不包括地板费用） 所有高难度圆形底层楼梯每级200澳元。 几百个款式地板款式供大家选挑，羡求做到各客户满意，本公司为各客户提供热情的免费的安装后维修服务。 欢迎各公司或个人的工程合作和承包。 电话：0451170168，0435216810（Tim）",Sydney,,,Litianxiang1978@126.com,,0435 216 810,Tim,,Floor carpet
ROYAL TILES ,ROYAL TILES ,,"255-257 PARRAMATTA RD, AUBURN NSW 2144",,,,(02) 9748 0885,,,,Floor carpet
ACTION TIMBER & HARDWARE ,ACTION TIMBER & HARDWARE ,,"167 NEW CANTERBURY RD, PETERSHAM NSW 2049 ",,,,(02)9560 2444,,,,Floor carpet
BOB,BOB 地毯 , 无店铺，低价销售，安装地毯，二十年经验，十年保修，另修地毯，楼梯,,,,,"
02 88094991",0416 522 555,,,Floor carpet
JJ Timber Flooring ,JJ Timber Flooring ,Bamboo Floor Experts 8mm laminate floor fr $10.99 sqSupply + install all works guarante www.jjtimberflooring.com.au ,"18/116-118 McCredie Road, Guildford West NSW 2161",,,sales@jjtimberflooring.com.au,(02) 9681 7228,,,,Floor carpet
A-ONE METAL ,A-ONE METAL 不鏽鋼,,"9/192A KINGSGROVE ROAD, KINGSGROVE NSW 2208",,,,(02) 9150 0799,,,,Floor carpet
J&P,J&P佳朋地板工厂直销,"批发零售各种实木地板，实木复合地板，竹地板，强化复合地板，<br/>物美价廉，工厂直销，质量保证，最新工艺整体实木复合锁扣板独一无二，专业安装，手工精良，上门免费估价 <br/>address: 2/40 George St Clyde (Granville ) Ph: (02)9760 2985 0433799 999 北区分店：130A Mowbray Rd, Willoughby Ph: (02)9958 1182 0430 485 552", 2/40 George St Clyde Granville ,,,,(02) 9760 2985,0433 799 999,,,Floor carpet
ICON TIMBER FLOORING ,ICON TIMBER FLOORING ,,"198 WILLIAM ST, EARLWOOD NSW 2206",,,,(02) 9787 9693,,,,Floor carpet
MING-ON BUILDING SUPPLIES ,明安家具建材有限公司 MING-ON BUILDING SUPPLIES ,,"54-56 CHADDERTON ST, LANSVALE NSW 2166",,,,(02) 9726 8400,,,,Floor carpet
MING ON ,MING ON ,,"52-56 CHADDERTON ST, LANSVALE NSW 2166",,,,(02) 9724 7751,,,,Floor carpet
floor carpet10,匯豐地板,,"186 PRINCES HIGHWAY, ARNCLIFFE NSW 2205",,,,(02) 9599 5902,,,,Floor carpet
floor carpet11,华美地板, 华美地板 厂家直销 经营 各种实木地板 复合地板 竹地板 金刚板等数十种颜色款式<br/>健康环保 质量最好价格最低 安装设计 经验丰富. 展厅7天开放， 地址：shop7 124-128 Beamish St Campsie NSW2194 联系电话：(02)97896566 0450 883 789,shop7 124-128 Beamish St Campsie NSW 2194,,,yanguiping888@yeah.net,(02) 9789 6566,0450 883 789,,,Floor carpet
floor carpet12,精装地毯,多年地毯销售，安装，修补，多种样品选择，价钱合理，服务周到，保质保量。,Sydney,,,,,0422 715 230,,,Floor carpet
floor carpet13,皇冠地板,,"7/20 CRESCENT STREET, HOLROYD NSW 2160",,,,(02) 9897 1450,,,,Floor carpet
floor carpet14,吉祥裝修 BESTWIND BUILDING REPAIR & MAINTENANCE P/L ,,"100 FOREST RD, HURSTVILLE NSW 2220",,,,(02) 8505 3387,,,,Floor carpet
floor carpet15,A1-质优价惠T地板 ,进口批发多种12MM高品质金刚板; 25 years Warranty. www.tflooring.com.au,"10/25 Hoskins Ave, Bankstown",,,info@tflooring.com.au,(02) 9709 3001,,Tom,,Floor carpet
floor carpet16,鲁班地板,具备有资深的木工师傅，打造出一流的木材天地。精工安装各种楼梯，地板，打磨抛光，修理有问题地板，亲临现场安装，免费报价，价格合理。,Sydney,,,,(02) 9787 5737,0406 732 881,,,Floor carpet
floor carpet7,百利达地毯.地板 ,,"271 BEAMISH STREET, CAMPSIE NSW 2194",,,,(02) 9789 4422,,,,Floor carpet
HERRMANN TILES ,HERRMANN TILES ,,"113 TADMORE RD, CRANEBROOK NSW 2749",,,,(02) 4777 4214,"
",,,Floor carpet
T1,T1 地毯 , 承接各类地毯安装和修理，尤其楼梯，经验丰富，价格便宜，各种样品可供选择。,,,,,,0433 338 522,,,Floor carpet
floor carpet18,專業門店,,"870 CANTERBURY ROAD, ROSELANDS NSW 2196",,,,(02) 9750 8328,,,,Floor carpet
H B TILE MARKET,H B TILE MARKET ,,"20 HALL ST. CNR. HALL & STATION RD, AUBURN NSW 2144",,,,(02)9646 4386,,,,Floor carpet
CITY WIDE TIMBER FLOORING ,CITY WIDE TIMBER FLOORING ,,"181 TAREN POINT RD, CARINGBAH NSW 2229",,,,(02) 9525 2944,,,,Floor carpet
floor carpet19,地毯专卖,多家分店，经营各种品牌，各种档次地毯，价格最优惠，质量保证，提供修理地毯服务，免费估价。,Sydney,,,,,0425 376 168,Jack,,Floor carpet
ICON TIMBER FLOORING,ICON TIMBER FLOORING ,,"198 WILLIAM ST, EARLWOOD NSW 2206",,,,(02) 9787 9693,,,,Floor carpet
Wanda,Wanda 万达地毯地板,Since1990 ,Sydney,,,,(02) 9517 2413,,,,Floor carpet
RANDWICK TILES ,RANDWICK TILES ,,"120 AVOCA ST, RANDWICK NSW 2031",,,,(02) 9399 6868,,,,Floor carpet
floor carpet20,新佳地板,"专业销售适合澳洲使用各类地板；金刚板：125mm, 146mm面宽，数十种花色。<br/>实木复合地板：澳洲，东南亚，南美洲面板。实木及实木漆板：澳洲，东南亚，南美洲实木板及漆板， Spotted gum jarrah, Brush box, Ironbark, Blackbark, Kempas Kerring balau等。 重竹地板：多种规格及品种。拥有多组十数年安装经验工程队，为你打造放心一流地板，免费上门设计，评估，质量保证。地址：（Eastwood 火车站对面）， 19Railway parade Eastwood。 （02）9804 1024 0406411032 （中） 0424575220（中粤英） 营业时间：周一至周六，10am-6pm，周日预约.", 19Railway parade Eastwoo,,,,（02）9804 1024,0406 411 032,,,Floor carpet
STONE ART STONEMASONRY ,STONE ART STONEMASONRY ,,"PO BOX 1515, GREEN VALLEY NSW 2168",,,,(02) 9826 9941,,,,Floor carpet
floor carpet21,宇坤地板 ,,Sydney,,,,,0423 412 766,,,Floor carpet
 ENDEAVOUR TILES AUSTRALIA P/,鴻叽纱u(澳洲)有限公司 ENDEAVOUR TILES AUSTRALIA P/L ,,"UNIT 1, 405-411 WEST BOTANY ST, ROCKDALE NSW 2216",,,,(02) 9599 0639,,,,Floor carpet
ACADEMY TILES ,ACADEMY TILES ,,"20 HERBERT ST, ARTARMON NSW 2064",,,,(02) 9436 3566,,,,Floor carpet
EASTSIDE CERAMICS,EASTSIDE CERAMICS ,,"3/669 ANZAC PDE, MAROUBRA NSW 2035",,,,(02) 9349 6700,,,,Floor carpet
KINGSTONE ROOFING & AWNINGS,KINGSTONE ROOFING & AWNINGS 福人地板 ,,"97 LAKEMBA ST, BELMORE NSW 2192",,,,(02) 9750 7128,,,,Floor carpet
CAPRI TILES ,CAPRI TILES ,,"1429 BOTANY RD, BOTANY NSW 2019",,,,(02) 9316 6207,,,,Floor carpet
CAMERONS TREATED PINE P/L ,CAMERONS TREATED PINE P/L ,,"1 GILLESPIE AVE, ALEXANDRIA NSW 2015",,,,(02) 9667 4077,,,,Floor carpet
floor carpet22,进丽地板,,Sydney,,,,(02) 9758 6988,,,,Floor carpet
floor carpet23,宏信地板 ,,"5/16-18 HAMPSTEAD RD, AUBURN NSW 2144",,,,(02) 9748 0582,,,,Floor carpet
EURO ABRASIVES ,EURO ABRASIVES ,,"82 NEW CANTERBURY RD, PETERSHAM NSW 2049",,,,(02) 9569 2715,,,,Floor carpet
floor carpet24,A&X上海安信地板直销 ,"上海厂方直销。采用德国技术特价批发各种东南亚，南美。澳洲木地实木地板（可议价）。实木复合地板$28起。特价：12， 3mm强化地板 $12起，包公包料 $26/平方起。友善，专业工程队精心设计。安装。包满意。10年质量保证。免费估价。（02）9708 0582 仓库：13/57 Allingham St, Condell Park ,七天","13/57 Allingham St, Condell Park",,,,(02) 9708 0582 ,0405 675 944,,,Floor carpet
CAMERONS TREATED PINE P/L ,CAMERONS TREATED PINE P/L ,,"1 GILLESPIE AVE, ALEXANDRIA NSW 2015",,,,(02) 9667 4077,,,,Floor carpet
floor carpet25,匯豐地板,,"3/113-115 PUNCHBOWL ROAD, BELFIELD NSW 2191",,,,(02) 9758 6988,,,,Floor carpet
floor carpet6,好佳地板特价批发零售 ,厂方直销金不换、花梨、波萝格、金檀、竹地板、各类复合地板、边条等几十种地板及辅料，大货仓全部现货，批零兼营，十多年专业安装团队为您精心设计安装，十年质保。展厅开放周一至周六： 9/249 Rawson St Auburn (02)97378801,9/249 Rawson St Auburn,,,,(02) 97378801,0424 168 002,,,Floor carpet
KINGSTONE ROOFING & AWNINGS,KINGSTONE ROOFING & AWNINGS 福人地板 ,,"97 LAKEMBA ST, BELMORE NSW 2192",,,,(02) 9750 7128,,,,Floor carpet
floor carpet7,邸氏地板  ,专业安装，各类地板，楼梯，8年经验，价格优惠，免费上门评估。,Sydney,,,,,0431 803 234,,,Floor carpet
ALL PURPOSE TILE CENTRE ,ALL PURPOSE TILE CENTRE ,,"127 BATTS ST, PENRITH NSW 2750",,,,(02) 4731 2106,,,,Floor carpet
floor carpet28,好佳地板 ,,Sydney,,,,(02) 9737 8801,,,,Floor carpet
floor carpet29,林森地板  ,十年品质保证，质量第一，信誉第一，品种最齐，厂价直销各种澳洲实木地板，实木复合地板，竹地板，几十种颜色，十多年经验专业安装团队位你服务，免费上门估价。,"878 Canterbury Road, Roselands, NSW",,,,(02) 9759 3761,0402 106 666,,,Floor carpet
VERSATILE CERAMICS,VERSATILE CERAMICS ,,"CNR. HUME HWY. AND ROOKWOOD RD, BANKSTOWN NSW 2200",,,,(02) 9896 1900,,,,Floor carpet
floor carpet30,贯一地板 ,,Sydney,,,,(02) 9787 8393 ,,,,Floor carpet
N. & F. ARCIULI P/L ,N. & F. ARCIULI P/L ,,"6 EAST PDE, EASTWOOD NSW 2122",,,,(02) 9804 7232,,,,Floor carpet
TIMBER FLOORS INTERNATIONAL P/L ,TIMBER FLOORS INTERNATIONAL P/L ,,"11/146 BOUNDARY ST, PADDINGTON NSW 2021",,,,(02) 8356 9722,,,,Floor carpet
floor carpet31,永恆地板,,"6/2 RAILWAY PARADE, LIDCOMBE NSW 2141",,,,(02) 9649 1022,,,,Floor carpet
C.M. MANUFACTURING,C.M. MANUFACTURING ,,"39 BRODIE ST, RYDALMERE NSW 2116",,,,(02) 9638 1136,,,,Floor carpet
WARRINGAH TIMBERS ,WARRINGAH TIMBERS ,,"9 TNMAN RD, DEE WHY NSW 2099",,,,(02) 9981 3733,,,,Floor carpet
CONCORD TIMBER FLOORING,CONCORD TIMBER FLOORING ,,"101 BURWOOD RD, CONCORD NSW 2137",,,,(02) 9747 1686,,,,Floor carpet
G.L. PLASTERBOARD CO. ,文志室內裝修公司 G.L. PLASTERBOARD CO. ,,"349 CABRAMATTA RD, CABRAMATTA NSW 2166",,,,(02) 9822 4480,,,,Floor carpet
